Date,Interval Start,Interval End,Active(I),Active(E),Reactive(I)-Active(I),Reactive(E)-Active(I),Reactive(E)-Active(E),Reactive(I)-Active(E),Apparent-Active(I) - type 2,Apparent-Active(E) - type 6,Average Voltage,Frequency,Calculated Avg Imp Power Factor (signed),Calculated Avg Exp Power Factor (signed)
20-10-2021,00:00,00:15,0,86531.25,0,0,0,25187.5,0,90156.25,427420,50,1,-0.96
20-10-2021,00:15,00:30,0,85718.75,0,0,0,25375,0,89375,427480,50.01,1,-0.959
20-10-2021,00:30,00:45,0,86062.5,0,0,0,25156.25,0,89687.5,427340,49.98,1,-0.96
20-10-2021,00:45,01:00,0,87781.25,0,0,0,24812.5,0,91218.75,427200,50.01,1,-0.962
20-10-2021,01:00,01:15,0,87406.25,0,0,0,25218.75,0,90968.75,427440,50,1,-0.961
20-10-2021,01:15,01:30,0,86812.5,0,0,0,25812.5,0,90562.5,427800,50.02,1,-0.959
20-10-2021,01:30,01:45,0,87031.25,0,0,0,25781.25,0,90781.25,427720,50.03,1,-0.959
20-10-2021,01:45,02:00,0,86750,0,0,0,25937.5,0,90531.25,427820,50,1,-0.958
20-10-2021,02:00,02:15,0,85906.25,0,0,0,26625,0,89937.5,428260,50.02,1,-0.955
20-10-2021,02:15,02:30,0,85625,0,0,0,26812.5,0,89718.75,428340,50.03,1,-0.954
20-10-2021,02:30,02:45,0,85250,0,0,0,26812.5,0,89375,428480,50.01,1,-0.954
20-10-2021,02:45,03:00,0,84937.5,0,0,0,26656.25,0,89031.25,428400,49.99,1,-0.954
20-10-2021,03:00,03:15,0,84343.75,0,0,0,26718.75,0,88468.75,428320,49.98,1,-0.953
20-10-2021,03:15,03:30,0,84437.5,0,0,0,26593.75,0,88531.25,428220,49.95,1,-0.954
20-10-2021,03:30,03:45,0,84906.25,0,0,0,26218.75,0,88875,427960,49.86,1,-0.955
20-10-2021,03:45,04:00,0,86218.75,0,0,0,26406.25,0,90125,427720,49.92,1,-0.957
20-10-2021,04:00,04:15,0,87250,0,0,0,25781.25,0,91000,426940,49.84,1,-0.959
20-10-2021,04:15,04:30,0,87468.75,0,0,0,25718.75,0,91187.5,427160,49.98,1,-0.959
20-10-2021,04:30,04:45,0,89406.25,0,0,0,24906.25,0,92781.25,426780,49.97,1,-0.964
20-10-2021,04:45,05:00,0,90968.75,0,0,0,24156.25,0,94156.25,426180,49.95,1,-0.966
