Date,Interval Start,Interval End,Active(I),Active(E),Reactive(I)-Active(I),Reactive(E)-Active(I),Reactive(E)-Active(E),Reactive(I)-Active(E),Apparent-Active(I) - type 2,Apparent-Active(E) - type 6,Average Voltage,Frequency,Calculated Avg Imp Power Factor (signed),Calculated Avg Exp Power Factor (signed),Low Voltage
12-02-2022,12:00,12:15,0,91781.25,0,0,0,18625,0,93625,418120,49.95,1,-0.98,No
12-02-2022,12:15,12:30,0,91687.5,0,0,0,17781.25,0,93406.25,417680,49.89,1,-0.982,No
12-02-2022,12:30,12:45,0,91250,0,0,0,18656.25,0,93156.25,418060,49.92,1,-0.98,No
12-02-2022,12:45,13:00,0,91093.75,0,0,0,19968.75,0,93250,418800,50.01,1,-0.977,No
12-02-2022,13:00,13:15,0,90281.25,0,0,0,22875,0,93156.25,420160,50.04,1,-0.969,No
12-02-2022,13:15,13:30,0,91750,0,0,0,22375,0,94437.5,419860,50,1,-0.972,No
12-02-2022,13:30,13:45,0,91000,0,0,0,22093.75,0,93656.25,419480,49.96,1,-0.972,No
12-02-2022,13:45,14:00,0,92718.75,0,0,0,21187.5,0,95093.75,419380,49.99,1,-0.975,No
12-02-2022,14:00,14:15,0,94750,0,0,0,20656.25,0,96968.75,419060,49.97,1,-0.977,No
12-02-2022,14:15,14:30,0,96187.5,0,0,0,18062.5,0,97906.25,417820,49.88,1,-0.982,No
12-02-2022,14:30,14:45,0,97125,0,0,0,17468.75,0,98656.25,417620,49.9,1,-0.984,No
12-02-2022,14:45,15:00,0,97781.25,0,0,0,17312.5,0,99312.5,417440,49.9,1,-0.985,No
12-02-2022,15:00,15:15,0,97531.25,0,0,0,18312.5,0,99218.75,417980,49.98,1,-0.983,No
12-02-2022,15:15,15:30,0,98156.25,0,0,0,17687.5,0,99781.25,417660,49.93,1,-0.984,No
12-02-2022,15:30,15:45,0,97218.75,0,0,0,18218.75,0,98875,417880,49.97,1,-0.983,No
12-02-2022,15:45,16:00,0,96656.25,0,0,0,19031.25,0,98531.25,418140,49.98,1,-0.981,No
12-02-2022,16:00,16:15,0,95593.75,0,0,0,21531.25,0,98000,419160,50.02,1,-0.975,No
12-02-2022,16:15,16:30,0,95906.25,0,0,0,20781.25,0,98125,418680,49.96,1,-0.977,No
12-02-2022,16:30,16:45,0,94031.25,0,0,0,21875,0,96531.25,418800,49.97,1,-0.974,No
12-02-2022,16:45,17:00,0,92968.75,0,0,0,23343.75,0,95843.75,419360,49.99,1,-0.97,No
12-02-2022,17:00,17:15,0,92218.75,0,0,0,24562.5,0,95468.75,420080,50,1,-0.966,No
12-02-2022,17:15,17:30,0,92656.25,0,0,0,23781.25,0,95656.25,419660,49.97,1,-0.969,No
12-02-2022,17:30,17:45,0,92343.75,0,0,0,23468.75,0,95250,419720,50.01,1,-0.969,No
12-02-2022,17:45,18:00,0,92218.75,0,0,0,23375,0,95156.25,419880,50.01,1,-0.969,No
12-02-2022,18:00,18:15,0,89781.25,0,0,0,25187.5,0,93250,421040,50.02,1,-0.963,No
12-02-2022,18:15,18:30,0,87125,0,0,0,25718.75,0,90843.75,421060,49.96,1,-0.959,No
12-02-2022,18:30,18:45,0,87343.75,0,0,0,25875,0,91125,421060,49.95,1,-0.959,No
12-02-2022,18:45,19:00,0,87062.5,0,0,0,25656.25,0,90718.75,420960,49.93,1,-0.96,No
12-02-2022,19:00,19:15,0,85437.5,0,0,0,26625,0,89500,421600,49.98,1,-0.955,No
12-02-2022,19:15,19:30,0,84750,0,0,0,27625,0,89156.25,421900,49.97,1,-0.951,No
