Date,Interval Start,Interval End,Active(I),Active(E),Reactive(I)-Active(I),Reactive(E)-Active(I),Reactive(E)-Active(E),Reactive(I)-Active(E),Apparent-Active(I) - type 2,Apparent-Active(E) - type 6,Average Voltage,Frequency,Calculated Avg Imp Power Factor (signed),Calculated Avg Exp Power Factor (signed),Low Voltage
03-12-2021,16:00,16:15,0,77468.75,0,0,0,27218.75,0,82125,425280,50.07,1,-0.943,No
03-12-2021,16:15,16:30,0,80000,0,0,0,25875,0,84093.75,423780,50.03,1,-0.951,No
03-12-2021,16:30,16:45,0,82375,0,0,0,24187.5,0,85875,422800,49.99,1,-0.959,No
03-12-2021,16:45,17:00,0,82218.75,0,0,0,24500,0,85781.25,423000,49.98,1,-0.958,No
03-12-2021,17:00,17:15,0,82125,0,0,0,24875,0,85781.25,423120,49.95,1,-0.957,No
03-12-2021,17:15,17:30,0,81750,0,0,0,24718.75,0,85437.5,422720,49.88,1,-0.957,No
03-12-2021,17:30,17:45,0,80750,0,0,0,24843.75,0,84468.75,422860,49.9,1,-0.956,No
03-12-2021,17:45,18:00,0,83812.5,0,0,0,23687.5,0,87093.75,422640,50,1,-0.962,No
03-12-2021,18:00,18:15,0,87562.5,0,0,0,21312.5,0,90125,421580,49.9,1,-0.972,No
03-12-2021,18:15,18:30,0,88875,0,0,0,20625,0,91250,421280,49.92,1,-0.974,No
03-12-2021,18:30,18:45,0,88031.25,0,0,0,21531.25,0,90625,421760,49.97,1,-0.971,No
03-12-2021,18:45,19:00,0,89968.75,0,0,0,21093.75,0,92406.25,421800,50.01,1,-0.974,No
03-12-2021,19:00,19:15,0,91406.25,0,0,0,20656.25,0,93718.75,421840,50.02,1,-0.975,No
03-12-2021,19:15,19:30,0,86281.25,0,0,0,24343.75,0,89687.5,423380,49.94,1,-0.962,No
03-12-2021,19:30,19:45,0,85312.5,0,0,0,25718.75,0,89093.75,423920,49.9,1,-0.958,No
03-12-2021,19:45,20:00,0,83281.25,0,0,0,27156.25,0,87625,424760,49.94,1,-0.95,No
03-12-2021,20:00,20:15,0,82156.25,0,0,0,28312.5,0,86843.75,425000,49.98,1,-0.946,No
03-12-2021,20:15,20:30,0,81718.75,0,0,0,28562.5,0,86593.75,425560,50,1,-0.944,No
03-12-2021,20:30,20:45,0,79343.75,0,0,0,29812.5,0,84750,426380,50.01,1,-0.936,No
03-12-2021,20:45,21:00,0,78656.25,0,0,0,29937.5,0,84156.25,426620,50.04,1,-0.935,No
03-12-2021,21:00,21:15,0,78125,0,0,0,30406.25,0,83843.75,426860,50.02,1,-0.932,No
03-12-2021,21:15,21:30,0,84875,0,0,0,28468.75,0,89562.5,427080,50.01,1,-0.948,No
03-12-2021,21:30,21:45,0,85781.25,0,0,0,28468.75,0,90343.75,427160,50.02,1,-0.949,No
03-12-2021,21:45,22:00,0,83906.25,0,0,0,29375,0,88906.25,427680,50.06,1,-0.944,No
03-12-2021,22:00,22:15,0,83875,0,0,0,28562.5,0,88625,427340,50.03,1,-0.946,No
03-12-2021,22:15,22:30,0,81906.25,0,0,0,28468.75,0,86718.75,427200,50,1,-0.945,No
03-12-2021,22:30,22:45,0,83281.25,0,0,0,28093.75,0,87875,426700,49.98,1,-0.948,No
03-12-2021,22:45,23:00,0,82437.5,0,0,0,28750,0,87343.75,426640,49.98,1,-0.944,No
03-12-2021,23:00,23:15,0,80437.5,0,0,0,29687.5,0,85718.75,426980,49.99,1,-0.938,No
03-12-2021,23:15,23:30,0,80843.75,0,0,0,29750,0,86156.25,426960,50,1,-0.938,No
03-12-2021,23:30,23:45,0,80156.25,0,0,0,29843.75,0,85531.25,426940,49.98,1,-0.937,No
03-12-2021,23:45,00:00,0,78593.75,0,0,0,30500,0,84281.25,427300,50,1,-0.933,No
04-12-2021,00:00,00:15,0,76406.25,0,0,0,30750,0,82375,427540,49.98,1,-0.928,No
04-12-2021,00:15,00:30,0,74750,0,0,0,31281.25,0,81031.25,427920,50.02,1,-0.922,No
04-12-2021,00:30,00:45,0,73968.75,0,0,0,31000,0,80218.75,427880,50.01,1,-0.922,No
04-12-2021,00:45,01:00,0,73781.25,0,0,0,30437.5,0,79781.25,427660,50,1,-0.925,No
04-12-2021,01:00,01:15,0,74218.75,0,0,0,30312.5,0,80187.5,427560,49.98,1,-0.926,No
04-12-2021,01:15,01:30,0,72781.25,0,0,0,30312.5,0,78843.75,427660,49.95,1,-0.923,No
04-12-2021,01:30,01:45,0,72312.5,0,0,0,30281.25,0,78406.25,427600,49.91,1,-0.922,No
04-12-2021,01:45,02:00,0,71781.25,0,0,0,30437.5,0,77968.75,427700,49.89,1,-0.921,No
04-12-2021,02:00,02:15,0,72656.25,0,0,0,30687.5,0,78843.75,427900,49.93,1,-0.922,No
04-12-2021,02:15,02:30,0,72000,0,0,0,30500,0,78250,427840,49.88,1,-0.92,No
04-12-2021,02:30,02:45,0,71093.75,0,0,0,30781.25,0,77468.75,428000,49.9,1,-0.918,No
04-12-2021,02:45,03:00,0,69937.5,0,0,0,30937.5,0,76437.5,428180,49.87,1,-0.915,No
04-12-2021,03:00,03:15,0,71218.75,0,0,0,30968.75,0,77687.5,428120,49.89,1,-0.917,No
04-12-2021,03:15,03:30,0,72343.75,0,0,0,30843.75,0,78625,428120,49.92,1,-0.92,No
04-12-2021,03:30,03:45,0,73093.75,0,0,0,31000,0,79406.25,428200,49.99,1,-0.921,No
